557923453;64291400
514264419;66355400
521371073;64375800
506835988;66892300
519417743;62367800
540799928;67852300
496847117;62106100
497815559;60193600
522159071;63203300
549023914;68720800
515447973;62366900
542712370;65378200
555418567;65461300
552369241;64479100
540248372;64236300
550475023;70850100
455190746;25277700
457370742;27982600
502535551;58623400
485059138;52154500
494304454;58610500
0;0
509943538;60432700
500261777;61477200
487908910;60043000
509109761;63964700
564381661;69031100
499384446;62618500
520207075;62054700
522553738;67353000
520727074;66902900
565735439;70570700
526550620;69888700
533513717;68615700
507390209;61384300
501882664;62603400
506071101;63242900
508512429;65073600
483728473;57916700
493744011;64065200
487664911;60371000
485983136;58315000
505753324;58623300
540095486;65899000
511668868;60791800
580228744;70915600
548300359;64157800
547907472;68170000
542740811;62510200
531738611;63432800
447294316;25145200
454461415;24949200
497034227;58858100
494689788;54169600
517115970;62826500
0;0
538628376;64108300
539071486;67092700
501681775;60975000
492645347;60560300
569226098;73063000
532312387;71807300
520275520;66140600
570770985;73173400
515011974;65967200
580370969;75082700
506938210;63726900
537738599;74445700
516941303;62418500
499598223;61891800
500666221;63636700
500230222;61717200
495580452;58871400
491770237;62536300
494484899;61232300
496464451;62825200
500590666;57918500
551418131;66016500
534134606;58297200
538389711;65710600
534380828;65115400
536646159;63362900
544579031;60960900
553731904;64647400
470896051;24840800
460797403;26401600
497364894;58198500
486196025;54180700
497054672;57246100
0;0
492690680;57795800
493800899;65331800
490150240;58323800
496954672;61828700
543127479;68270200
499516001;61122000
517903524;63651300
517540412;68916200
519224854;69405500
568334099;71934800
500007999;62950000
518474190;66411100
